"item_id","resp","wave"
1,4,"w1"
2,3,"w1"
3,4,"w1"
4,2,"w1"
5,3,"w1"
6,3,"w1"
7,4,"w1"
8,5,"w1"
9,2,"w1"
10,5,"w1"
11,3,"w1"
12,3,"w1"
13,4,"w1"
14,2,"w1"
15,5,"w1"
16,3,"w1"
17,2,"w1"
18,4,"w1"
19,2,"w1"
20,3,"w1"
21,3,"w1"
22,3,"w1"
23,1,"w1"
24,3,"w1"
25,4,"w1"
26,2,"w1"
27,2,"w1"
28,2,"w1"
29,2,"w1"
30,4,"w1"
31,1,"w1"
32,2,"w1"
33,2,"w1"
34,2,"w1"
35,1,"w1"
36,2,"w1"
37,5,"w1"
39,2,"w1"
40,4,"w1"
41,1,"w1"
42,2,"w1"
43,4,"w1"
44,1,"w1"
45,3,"w1"
46,4,"w1"
47,2,"w1"
48,2,"w1"
49,2,"w1"
50,2,"w1"
51,3,"w1"
