"item_id","resp","wave"
1,2,"w1"
2,3,"w1"
3,4,"w1"
4,3,"w1"
5,4,"w1"
6,3,"w1"
7,4,"w1"
8,5,"w1"
9,2,"w1"
10,3,"w1"
11,2,"w1"
12,3,"w1"
13,5,"w1"
14,3,"w1"
15,4,"w1"
16,4,"w1"
17,2,"w1"
18,4,"w1"
19,4,"w1"
20,3,"w1"
21,2,"w1"
22,2,"w1"
23,3,"w1"
24,2,"w1"
25,2,"w1"
26,2,"w1"
27,1,"w1"
28,2,"w1"
29,2,"w1"
30,2,"w1"
31,1,"w1"
32,1,"w1"
33,2,"w1"
34,1,"w1"
35,1,"w1"
36,3,"w1"
37,2,"w1"
38,1,"w1"
39,2,"w1"
40,1,"w1"
41,1,"w1"
42,1,"w1"
43,3,"w1"
44,3,"w1"
45,2,"w1"
46,4,"w1"
47,1,"w1"
48,2,"w1"
49,1,"w1"
50,2,"w1"
51,1,"w1"
